id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine colour
756,8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,6,1
757,10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7,0
758,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,0
759,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7,1
760,7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,1
761,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,0
762,8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,5,1
763,10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6,0
764,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,1
765,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5,1
766,12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4,0
767,5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,0
768,12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6,0
769,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5,0
770,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4,1
771,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6,1
772,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,0
773,5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6,1
774,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,0
775,6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5,1
776,5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,6,1
777,7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,0
778,7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6,0
779,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,0
780,8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5,1
781,5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7,1
782,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6,0
783,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5,0
784,6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6,1
785,7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6,0
786,6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5,0
787,6.5,0.33,0.32,1,0.041,39,120,0.99004,3.06,0.37,12.2,6,1
788,6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5,1
789,7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,1
790,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5,1
791,7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5,1
792,5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7,1
793,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,0
794,6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5,1
795,8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5,0
796,6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,1
797,5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6,1
798,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7,1
799,6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5,1
800,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,0
801,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,0
802,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5,1
803,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7,0
804,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,0
805,5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6,1
806,8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6,1
807,5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6,1
808,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6,0
809,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,0
810,11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,0
811,8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7,0
812,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,0
813,6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6,1
814,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5,1
815,5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5,1
816,6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6,0
817,7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,5,1
818,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8,1
819,5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,6,1
820,9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6,1
821,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5,1
822,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,0
823,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,0
824,8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6,1
825,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,0
826,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,0
827,6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,6,1
828,9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6,0
829,6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,7,1
830,7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6,1
831,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,0
832,8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6,1
833,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,0
834,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5,1
835,10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6,0
836,5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,6,1
837,6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4,1
838,5,0.24,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,6,1
839,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,1
840,6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,0
841,7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,1
842,6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,6,1
843,7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,1
844,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,0
845,6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6,0
846,5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,6,1
847,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,1
848,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6,0
849,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,0
850,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6,0
851,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,0
852,8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,6,1
853,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,1
854,7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7,1
855,7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5,1
856,7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6,1
857,6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,5,1
858,5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,0
859,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1,5,1
860,7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7,1
861,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,1
862,7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8,5,1
863,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4,0
864,7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,6,1
865,9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5,0
866,7.7,0.26,0.51,2.6,0.045,26,159,0.99126,3,0.5,11.2,6,1
867,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,0
868,6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8,1
869,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6,1
870,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,1
871,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,0
872,5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5,0
873,7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6,0
874,8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,5,1
875,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,0
876,8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,4,0
877,5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6,1
878,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,0
879,8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6,1
880,7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,6,1
881,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,0
882,6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6,1
883,7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,0
884,8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4,1
885,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,0
886,8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5,0
887,7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5,0
888,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,0
889,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6,0
890,6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5,1
891,6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7,1
892,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5,0
893,7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5,0
894,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,1
895,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,0
896,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,0
897,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,0
898,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5,1
899,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,0
900,6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5,1
901,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6,0
902,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5,0
903,11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6,0
904,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,0
905,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6,1
906,5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6,1
907,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,0
908,6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,5,1
909,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,1
910,7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7,1
911,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,1
912,9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5,1
913,7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8,1
914,7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6,1
915,8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,0
916,6.5,0.28,0.27,5.2,0.04,44,179,0.9948,3.19,0.69,9.4,6,1
917,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,0
918,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,1
919,5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7,1
920,10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,0
921,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6,0
922,7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,1
923,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,0
924,10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6,0
925,7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,0
926,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,1
927,7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,6,1
928,6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10,6,1
929,6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6,1
930,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,1
931,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,0
932,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,0
933,5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6,0
934,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,1
935,11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7,0
936,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6,0
937,7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5,1
938,6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6,1
939,5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6,1
940,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,0
941,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5,0
942,6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,7,1
943,11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6,0
944,5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,6,1
945,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7,1
946,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5,1
947,8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5,1
948,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,0
949,6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5,1
950,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,1
951,6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6,1
952,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,0
953,6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,6,1
954,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,0
955,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3,0
956,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,0
957,7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5,1
958,6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,5,1
959,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,0
960,5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,8,1
961,5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5,1
962,7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7,1
963,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,0
964,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5,0
965,7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8,0
966,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,0
967,7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,6,1
968,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,8,1
969,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,0
970,8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6,1
971,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,0
972,8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5,0
973,6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6,1
974,6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,5,1
975,6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7,5,1
976,8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6,1
977,6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,6,1
978,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5,0
979,7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6,1
980,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,0
981,5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,0
982,7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6,1
983,5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,7,1
984,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5,0
985,5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,5,1
986,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1
987,9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7,0
988,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,0
989,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5,0
990,6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6,1
991,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,0
992,6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6,1
993,7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,6,0
994,6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6,1
995,8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,0
996,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6,1
997,9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6,0
998,8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7,1
999,7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6,1
1000,7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5,1
1001,6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,7,1
1002,7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5,1
1003,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,0
1004,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,0
1005,9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,0
1006,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,0
1007,6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,6,1
1008,8,0.19,0.3,2,0.053,48,140,0.994,3.18,0.49,9.6,6,1
1009,7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5,0
1010,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,1
1011,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,1
1012,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,1
1013,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,0
1014,6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7,1
1015,5.9,0.22,0.3,1.3,0.052,42,86,0.99069,3.31,0.47,11.55,6,1
1016,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,1
1017,10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6,0
1018,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,0
1019,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,0
1020,8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5,1
1021,6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4,0
1022,8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6,1
1023,7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,6,1
1024,10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,0
1025,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6,0
1026,7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6,1
1027,5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,8,1
1028,6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4,1
1029,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,0
1030,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,6,1
1031,6.8,0.24,0.29,9.5,0.042,56,157,0.99586,3.11,0.51,10.1,6,1
1032,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5,1
1033,6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7,1
1034,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5,1
1035,7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7,1
1036,8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,6,0
1037,6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5,1
1038,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,1
1039,8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6,0
1040,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,0
1041,6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6,1
1042,6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,1
1043,6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,1
1044,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8,0
1045,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,1
1046,7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6,0
1047,6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5,1
1048,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7,1
1049,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,1
1050,5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7,1
1051,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7,1
1052,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3,0
1053,6.9,0.3,0.36,0.9,0.037,40,156,0.98968,3.08,0.36,12.1,6,1
1054,6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6,1
1055,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,0
